M_01,M_02,M_03,M_04,M_05,M_06,M_07,M_08,M_08_VALOR,M_08_TEXTO,M_09_A,M_09_B,M_09_C,M_09_D,M_09_E,M_09_F,M_09_G,M_09_H,M_09_I,M_10_A,M_10_B,M_10_C,M_10_D,M_10_E,M_10_F,M_10_G,M_10_H,M_10_I,M_10_J,M_10_K,M_10_L,M_10_M,M_10_N,M_10_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29452,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29895,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30076,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30448,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30494,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30542,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30571,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30741,1,1,1
3,1,3,2,,,2,1,2000,DOS MIL PESOS,,,1,,,,,,,2,1,2,1,2,1,1,2,2,2,1,2,1,2,1,30757,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30927,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31462,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31524,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31588,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31631,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31643,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31685,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31728,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31802,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31901,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31946,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32102,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32479,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32549,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32562,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32782,1,1,1
3,1,5,2,,,30,1,3000,TRES MIL PESOS,,,1,,,,,,,2,1,2,2,2,1,1,2,1,2,1,2,1,2,2,33076,1,1,1
3,1,2,1,8,16000,5,1,2000,DOS MIL PESOS,,,1,1,,1,,,,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,33290,5,1,5
1,1,5,1,30,98,99,1,1000,MIL PESOS,,,1,1,,1,,,,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,33313,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33442,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33552,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33630,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33631,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33684,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33768,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33974,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34200,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34258,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35077,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35160,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35635,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35703,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35841,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36151,1,1,1
3,1,1,2,,,1,1,2000,DOS MIL PESOS,,,,,,1,,,,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,36156,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36315,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36510,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36890,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37659,5,1,5
3,1,2,1,1,18000,9,1,2000,DOS MIL PESOS,,,,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38790,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39074,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39286,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39430,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39509,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39839,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39880,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40154,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40524,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41478,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41497,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41957,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42260,1,1,1
1,1,5,1,30,300000,30,1,5000,CINCO MIL PESOS,,,1,1,,,,,,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,42275,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42356,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42437,2,1,2
3,1,4,1,3,40000,40,1,2500,DOS MIL QUINIENTOS,,,,1,,,,,,1,1,2,1,2,1,1,1,2,2,1,1,1,2,1,42538,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42659,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43140,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43395,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43782,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43842,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43914,2,1,2
