P_01,P_02,P_03,P_04,P_05,P_06,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
,,,,2,,16899,2,1,2
1,2,,,,,16921,1,1,1
,,,,1,1,16970,2,1,2
,,,,2,,17003,2,1,2
1,2,,,,,17040,2,1,2
2,,,,,,17045,2,1,2
,,,,2,,17135,1,1,1
,,1,2,1,2,17159,3,1,3
,,2,,,,17189,1,1,1
,,2,,2,,17197,2,1,2
,,2,,2,,17300,3,1,3
,,2,,2,,17378,3,1,3
,,,,2,,17403,2,1,2
,,,,2,,17407,1,1,1
2,,,,,,17448,1,1,1
,,,,2,,17469,1,1,1
,,2,,,,17483,1,1,1
2,,,,,,17581,2,1,2
2,,,,,,17608,3,1,3
2,,,,,,17630,1,1,1
,,2,,,,17763,2,1,2
,,2,,,,17798,3,1,3
,,,,2,,17830,1,1,1
,,,,2,,17838,1,1,1
,,,,1,1,17877,1,1,1
,,,,2,,17888,1,1,1
,,2,,,,17894,2,1,2
,,,,2,,17933,3,1,3
,,,,2,,17964,2,1,2
,,2,,2,,17974,3,1,3
,,,,2,,17995,1,1,1
,,,,2,,17997,2,1,2
2,,,,,,18047,1,1,1
,,,,2,,18116,1,1,1
,,,,2,,18138,2,1,2
,,2,,2,,18169,3,1,3
,,,,2,,18170,2,1,2
,,,,2,,18228,1,1,1
,,,,1,2,18323,1,1,1
,,,,1,2,18619,1,1,1
2,,,,,,18622,1,1,1
,,2,,,,18628,1,1,1
,,2,,,,18667,4,1,4
,,2,,2,,18668,1,1,1
1,2,,,,,18845,1,1,1
,,,,2,,18880,1,1,1
,,2,,,,19075,3,1,3
,,1,2,,,19132,4,1,4
,,,,2,,19136,2,1,2
2,,,,,,19137,2,1,2
,,,,1,2,19197,2,1,2
,,,,2,,19237,1,1,1
,,,,1,2,19301,2,1,2
,,,,2,,19376,1,1,1
,,,,2,,19383,1,1,1
,,1,2,,,19481,2,1,2
,,2,,,,19544,2,1,2
,,,,1,2,19597,2,1,2
,,2,,,,19651,2,1,2
,,,,2,,19703,2,1,2
2,,,,,,19731,2,1,2
,,,,2,,19803,1,1,1
,,,,2,,19868,1,1,1
,,2,,,,20026,2,1,2
,,2,,,,20032,1,1,1
1,2,,,,,20066,2,1,2
2,,,,,,20195,1,1,1
2,,,,,,20198,4,1,4
,,,,2,,20268,1,1,1
2,,,,,,20294,2,1,2
2,,,,,,20328,1,1,1
2,,,,,,20436,1,1,1
2,,2,,2,,20465,3,1,3
,,,,2,,20484,2,1,2
,,,,2,,20545,1,1,1
1,2,,,,,20791,2,1,2
,,,,2,,20807,1,1,1
,,,,2,,20812,2,1,2
,,2,,,,20818,2,1,2
,,,,2,,20822,1,1,1
,,,,2,,20844,1,1,1
2,,,,,,20925,1,1,1
2,,,,2,,20948,2,1,2
2,,,,,,21082,1,1,1
2,,,,,,21136,1,1,1
,,,,1,2,21160,3,1,3
2,,,,,,21174,2,1,2
,,,,2,,21178,3,1,3
,,,,2,,21300,1,1,1
2,,,,,,21383,1,1,1
2,,,,,,21415,1,1,1
2,,,,,,21450,3,1,3
,,,,1,2,21504,1,1,1
2,,,,,,21562,4,1,4
,,,,1,2,21576,1,1,1
,,,,2,,21697,1,1,1
2,,,,,,21720,2,1,2
,,,,1,2,21767,2,1,2
2,,2,,2,,21777,2,1,2
2,,,,,,21788,2,1,2
,,,,2,,21829,1,1,1
,,2,,,,21830,1,1,1
,,,,2,,21838,1,1,1
1,2,,,,,21884,1,1,1
1,2,,,,,21888,2,1,2
,,,,2,,21893,2,1,2
,,,,2,,21894,3,1,3
,,1,2,,,21992,1,1,1
,,,,2,,22065,1,1,1
2,,,,,,22071,2,1,2
,,,,2,,22093,2,1,2
2,,,,,,22097,2,1,2
2,,,,,,22106,1,1,1
,,2,,2,,22108,2,1,2
,,1,1,,,22308,3,1,3
,,,,2,,22335,2,1,2
,,,,2,,22385,1,1,1
2,,,,,,22453,2,1,2
,,2,,,,22476,1,1,1
,,,,2,,22564,2,1,2
,,,,2,,22698,2,1,2
,,,,2,,22716,1,1,1
,,1,1,,,22756,1,1,1
,,,,2,,22822,1,1,1
,,,,2,,22895,1,1,1
,,2,,2,,22932,4,1,4
,,2,,2,,22980,1,1,1
2,,,,,,23031,3,1,3
,,1,1,,,23084,1,1,1
1,1,,,,,23101,2,1,2
,,,,2,,23144,1,1,1
1,1,,,,,23272,3,1,3
,,,,2,,23283,1,1,1
,,2,,,,23316,4,1,4
,,2,,2,,23351,1,1,1
,,,,2,,23431,2,1,2
,,,,2,,23550,3,1,3
,,,,2,,23597,1,1,1
2,,,,,,23604,3,1,3
,,,,2,,23621,2,1,2
,,,,2,,23761,2,1,2
,,,,2,,23771,1,1,1
,,,,2,,23781,2,1,2
,,,,2,,23801,2,1,2
2,,,,,,23807,3,1,3
,,,,2,,23808,1,1,1
,,,,2,,23814,1,1,1
,,,,2,,23818,1,1,1
1,2,,,1,2,23824,1,1,1
,,2,,,,23848,3,1,3
,,1,2,2,,23901,1,1,1
,,,,1,2,23930,2,1,2
2,,,,,,23958,1,1,1
,,,,2,,24097,2,1,2
2,,,,,,24129,2,1,2
1,1,,,,,24165,1,1,1
,,2,,,,24210,3,1,3
2,,2,,,,24211,1,1,1
2,,,,,,24260,2,1,2
,,,,2,,24310,1,1,1
,,,,2,,24326,1,1,1
,,2,,2,,24342,1,1,1
1,2,,,,,24452,2,1,2
,,1,1,,,24503,3,1,3
2,,,,,,24510,7,1,7
2,,,,,,24536,2,1,2
,,2,,,,24540,4,1,4
,,,,2,,24589,1,1,1
2,,,,,,24590,1,1,1
2,,,,,,24647,2,1,2
1,2,,,,,24687,1,1,1
2,,,,,,24713,1,1,1
2,,,,,,24769,3,1,3
,,,,2,,24885,4,1,4
,,,,2,,24929,2,1,2
,,,,2,,25014,1,1,1
,,,,2,,25045,2,1,2
,,2,,2,,25173,1,1,1
2,,,,,,25209,1,1,1
,,,,2,,25307,1,1,1
,,,,2,,25363,1,1,1
,,,,2,,25373,1,1,1
,,,,2,,25403,2,1,2
,,,,2,,25419,1,1,1
,,,,2,,25427,1,1,1
,,,,2,,25443,1,1,1
,,,,2,,25521,2,1,2
,,,,2,,25548,2,1,2
1,2,,,,,25610,2,1,2
,,,,1,2,25670,4,1,4
2,,2,,2,,25699,1,1,1
2,,,,,,25713,3,1,3
,,2,,2,,25808,1,1,1
,,,,2,,25927,1,1,1
2,,,,,,26081,1,1,1
,,,,2,,26095,2,1,2
,,,,2,,26104,2,1,2
,,,,2,,26322,1,1,1
,,,,2,,26401,1,1,1
,,,,2,,26446,1,1,1
,,,,2,,26512,1,1,1
,,,,1,2,26529,1,1,1
,,,,1,2,26758,1,1,1
,,,,2,,26816,3,1,3
1,2,,,,,26817,1,1,1
,,,,1,2,26871,1,1,1
2,,,,,,26945,1,1,1
,,,,2,,26952,1,1,1
2,,,,,,27021,1,1,1
2,,,,,,27063,2,1,2
,,2,,2,,27077,1,1,1
,,,,1,2,27122,3,1,3
,,,,2,,27152,2,1,2
,,,,2,,27179,1,1,1
1,2,,,,,27222,1,1,1
,,,,1,2,27285,1,1,1
,,,,2,,27351,1,1,1
,,,,2,,27406,2,1,2
,,,,1,1,27444,1,1,1
,,,,2,,27447,2,1,2
,,,,1,2,27515,1,1,1
,,,,2,,27565,1,1,1
,,,,2,,27778,2,1,2
1,2,,,,,27789,6,1,6
,,,,2,,27810,1,1,1
,,,,2,,27820,1,1,1
,,,,2,,27872,4,1,4
,,,,2,,27972,1,1,1
1,2,,,,,28058,4,1,4
,,,,2,,28095,1,1,1
,,,,2,,28143,1,1,1
,,,,2,,28160,1,1,1
,,2,,2,,28161,1,1,1
,,,,2,,28193,2,1,2
2,,,,,,28197,1,1,1
1,2,,,,,28215,4,1,4
,,,,2,,28254,1,1,1
2,,,,2,,28303,1,1,1
,,,,2,,28326,2,1,2
1,2,,,,,28360,1,1,1
,,,,2,,28423,1,1,1
,,,,2,,28495,2,1,2
,,,,2,,28515,2,1,2
,,,,2,,28543,3,1,3
,,,,2,,28552,1,1,1
,,,,2,,28598,1,1,1
,,9,,1,1,28705,1,1,1
2,,,,,,28717,1,1,1
,,,,1,1,28750,4,1,4
,,2,,,,28763,4,1,4
,,,,2,,28775,4,1,4
,,,,2,,28861,1,1,1
,,,,2,,28941,3,1,3
,,,,2,,28954,1,1,1
,,1,2,,,28992,2,1,2
,,1,2,2,,28993,1,1,1
,,2,,,,29006,3,1,3
,,2,,,,29008,3,1,3
1,1,,,,,29143,1,1,1
2,,2,,2,,29153,1,1,1
1,2,,,,,29187,2,1,2
,,,,2,,29226,1,1,1
,,,,2,,29308,1,1,1
,,,,2,,29334,2,1,2
,,,,2,,29444,1,1,1
,,,,2,,29452,1,1,1
1,2,,,,,29512,1,1,1
2,,,,,,29534,1,1,1
2,,,,,,29686,2,1,2
,,1,1,1,2,29784,1,1,1
,,2,,2,,29974,3,1,3
,,,,2,,30009,4,1,4
2,,,,,,30015,2,1,2
,,,,2,,30094,2,1,2
,,,,2,,30300,3,1,3
2,,,,,,30390,3,1,3
,,,,2,,30416,2,1,2
,,,,1,2,30419,2,1,2
,,2,,,,30448,1,1,1
2,,,,,,30464,1,1,1
,,,,2,,30571,1,1,1
,,2,,,,30619,2,1,2
2,,,,,,30622,2,1,2
,,,,1,1,30663,1,1,1
,,,,2,,30811,1,1,1
,,,,2,,30834,3,1,3
1,2,,,,,30864,1,1,1
,,,,1,2,30866,1,1,1
,,1,2,,,30978,2,1,2
,,,,2,,31044,1,1,1
,,1,2,,,31064,2,1,2
,,1,2,2,,31098,2,1,2
,,,,2,,31339,1,1,1
1,2,,,,,31408,1,1,1
,,,,2,,31440,2,1,2
2,,2,,,,31524,2,1,2
2,,,,,,31544,1,1,1
1,2,,,1,2,31553,1,1,1
,,,,2,,31643,2,1,2
2,,,,,,31670,2,1,2
1,2,,,,,31707,1,1,1
2,,,,,,31830,2,1,2
,,2,,2,,31853,3,1,3
,,,,2,,31888,3,1,3
