R_01,R_02,R_03,R_04,R_05,R_06,R_07,R_08_A,R_08_B,R_08_C,R_08_D,R_09,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
2,,0,,2,2,2,9,9,9,9,2,553,2,1,2
2,,0,,1,1,1,1,2,9,9,2,555,3,1,3
2,,1,2,2,2,2,9,9,9,9,2,558,3,1,3
2,,0,,2,2,2,9,9,9,9,2,560,1,1,1
2,,0,,1,1,2,9,9,9,9,2,561,2,1,2
2,,0,,2,1,1,9,9,9,9,2,566,2,1,2
2,,0,,1,2,2,9,1,9,9,2,569,1,1,1
2,,0,,9,2,9,9,2,9,9,2,571,2,1,2
2,,0,,2,2,2,9,2,9,9,2,572,1,1,1
2,,0,,2,2,2,9,1,9,9,2,574,1,1,1
2,,0,,1,1,1,9,9,9,9,2,575,5,1,5
2,,0,,2,2,2,9,2,9,9,2,576,4,1,4
2,,0,,1,1,2,9,2,9,9,2,581,1,1,1
2,,0,,2,1,2,9,2,9,9,2,585,1,1,1
2,,0,,1,1,9,9,9,9,9,2,586,1,1,1
2,,0,,2,2,2,9,9,9,9,2,587,2,1,2
2,,0,,2,2,2,9,2,9,9,1,588,2,1,2
2,,0,,1,2,2,9,9,9,9,2,589,2,1,2
2,,0,,2,1,1,9,9,9,9,2,590,1,1,1
2,,0,,1,1,1,9,2,9,9,9,594,1,1,1
2,,0,,1,1,2,9,2,9,9,2,597,3,1,3
2,,0,,2,2,2,9,9,9,9,2,598,1,1,1
2,,0,,1,2,9,9,2,9,9,2,603,3,1,3
2,,0,,2,2,2,9,9,9,9,2,606,3,1,3
2,,0,,1,2,2,9,9,9,9,2,608,1,1,1
2,,0,,1,2,9,9,2,9,9,2,610,3,1,3
2,,0,,2,2,2,9,9,9,9,2,612,2,1,2
2,,0,,1,1,9,9,2,9,9,2,614,1,1,1
2,,0,,2,2,2,9,2,9,9,2,618,1,1,1
2,,0,,1,2,9,9,2,9,9,2,621,1,1,1
2,,0,,9,2,2,9,9,9,9,2,622,1,1,1
2,,0,,2,2,2,9,2,9,9,2,624,1,1,1
2,,0,,2,2,2,9,1,9,9,2,626,1,1,1
2,,0,,1,1,2,9,2,9,9,2,628,1,1,1
2,,3,2,2,1,1,9,9,9,9,2,631,1,1,1
2,,0,,2,2,2,9,2,9,9,2,632,4,1,4
2,,0,,1,2,2,9,2,9,9,2,634,1,1,1
2,,2,2,1,1,9,9,9,9,9,2,636,2,1,2
2,,0,,1,1,9,9,2,9,9,2,638,1,1,1
2,,0,,9,2,2,9,9,9,9,2,643,2,1,2
2,,0,,2,2,2,9,2,9,9,2,644,4,1,4
2,,0,,9,2,2,1,2,9,9,2,645,1,1,1
2,,5,2,1,2,2,9,2,9,9,2,646,1,1,1
2,,0,,1,1,2,9,9,9,9,9,648,2,1,2
2,,0,,2,2,2,9,9,9,9,2,649,2,1,2
2,,0,,2,2,2,9,1,9,9,2,651,3,1,3
2,,2,2,2,2,2,2,2,9,9,2,652,9,1,9
2,,0,,2,2,2,9,9,9,9,2,653,2,1,2
2,,0,,2,2,2,9,9,9,9,2,658,5,1,5
2,,0,,1,1,2,9,1,9,9,2,659,4,1,4
1,2,0,,2,2,2,2,2,9,9,2,660,2,1,2
2,,0,,1,1,2,9,9,9,9,2,661,2,1,2
2,,0,,1,2,2,9,9,9,9,2,664,1,1,1
2,,0,,1,1,1,9,9,9,9,2,665,1,1,1
2,,0,,1,1,2,9,2,9,9,2,666,3,1,3
2,,0,,1,1,2,9,2,9,9,2,668,1,1,1
2,,0,,2,2,2,9,2,9,9,2,669,2,1,2
2,,0,,2,2,2,9,1,9,9,2,670,1,1,1
2,,0,,2,2,2,9,2,9,9,1,672,1,1,1
2,,0,,2,2,2,9,9,9,9,2,673,1,1,1
2,,0,,1,1,2,9,2,9,9,2,676,6,1,6
2,,0,,2,2,2,1,2,9,9,1,682,3,1,3
2,,0,,2,2,2,9,9,9,9,2,683,3,1,3
2,,0,,1,2,2,9,1,9,9,2,686,1,1,1
2,,0,,1,1,9,9,2,9,9,2,687,2,1,2
2,,0,,2,2,2,9,9,9,9,2,689,6,1,6
2,,0,,2,2,2,9,9,9,9,2,691,1,1,1
2,,0,,2,2,2,9,9,9,9,2,692,2,1,2
2,,0,,2,2,2,2,2,9,9,2,694,1,1,1
2,,0,,1,1,1,9,2,9,9,2,695,4,1,4
2,,0,,1,1,1,9,2,9,9,2,698,1,1,1
2,,0,,2,2,2,9,1,2,9,2,702,4,1,4
2,,0,,1,1,1,9,2,9,9,2,703,1,1,1
2,,0,,1,1,1,9,9,9,9,2,704,1,1,1
2,,0,,1,2,2,9,9,9,9,2,705,1,1,1
2,,0,,2,2,2,9,2,9,9,2,706,2,1,2
2,,0,,1,1,2,9,2,9,9,2,708,6,1,6
2,,0,,1,1,2,9,2,9,9,2,712,1,1,1
2,,0,,2,2,2,9,9,9,9,2,715,1,1,1
2,,0,,1,1,1,9,9,9,9,2,717,2,1,2
2,,0,,1,2,9,9,2,9,9,9,721,1,1,1
2,,0,,2,2,2,9,9,9,9,2,722,2,1,2
2,,0,,2,2,2,9,9,9,9,2,726,2,1,2
