K_01_A,K_01_B,K_01_C,K_01_D,K_02,K_03,K_04,K_05,K_06,K_07,K_08,K_09,K_09_VALOR,K_09_TEXTO,K_10_A,K_10_B,K_10_C,K_10_D,K_10_E,K_10_F,K_10_G,K_10_H,K_10_I,K_11,K_11_A,K_11_B,K_11_C,K_11_D,K_11_E,K_12_A,K_12_B,K_12_C,K_12_D,K_12_E,K_12_F,K_12_G,K_12_H,K_12_I,K_12_J,K_12_K,K_12_L,K_12_M,K_12_N,K_12_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2975,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2979,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,7,1,7
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3006,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3099,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3112,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3115,1,1,1
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3170,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3183,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3192,2,1,2
,1,,1,2,1,2,2,,,2,1,3000,TRESMIL PESOS,,,,1,,,,,,2,,,,,,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,3228,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3240,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3241,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3243,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3280,3,1,3
,1,,,3,1,3,1,1,98,1,1,1000,MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,3301,7,1,7
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3361,1,1,1
,1,,,1,1,4,1,30,3000,100,1,3000,TRES MIL PESOS,,,,,1,,,,,2,,,,,,2,2,2,2,2,1,1,2,2,1,1,1,1,2,1,3395,2,1,2
1,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3409,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3411,1,1,1
1,1,1,,1,1,5,1,30,1000,10,1,3000,TRES MIL PESOS,,,1,,,,,,,2,,,,,,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,3441,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3443,2,1,2
