E_01,E_02,E_03,E_04,E_05,E_06,E_07,E_08,E_09,E_10,E_11,E_12,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
1,18,3,1,1,2,1,3,,2,,,616,2,1,2
2,,,,,,,,,1,16,2,617,2,1,2
2,,,,,,,,,2,,,618,1,1,1
2,,,,,,,,,2,,,621,1,1,1
2,,,,,,,,,2,,,622,1,1,1
1,19,3,2,,,,,,2,,,623,2,1,2
1,3,1,2,,,,,,2,,,624,1,1,1
1,13,3,2,,,,,,2,,,626,1,1,1
2,,,,,,,,,2,,,628,1,1,1
1,25,3,2,,,,,,2,,,629,2,1,2
2,,,,,,,,,2,,,630,2,1,2
1,16,3,2,,,,,,2,,,631,1,1,1
2,,,,,,,,,2,,,632,4,1,4
2,,,,,,,,,2,,,633,2,1,2
1,18,3,2,,,,,,2,,,634,1,1,1
2,,,,,,,,,2,,,635,1,1,1
1,20,3,2,,,,,,2,,,636,2,1,2
2,,,,,,,,,2,,,637,1,1,1
1,18,3,2,,,,,,2,,,638,1,1,1
2,,,,,,,,,2,,,640,4,1,4
2,,,,,,,,,2,,,641,2,1,2
2,,,,,,,,,2,,,642,1,1,1
2,,,,,,,,,2,,,643,2,1,2
2,,,,,,,,,2,,,644,4,1,4
1,17,3,1,1,30,1,1,5,2,,,645,1,1,1
2,,,,,,,,,2,,,646,1,1,1
1,23,3,2,,,,,,2,,,647,2,1,2
2,,,,,,,,,2,,,648,2,1,2
2,,,,,,,,,2,,,649,2,1,2
