D2_01,D2_03,D2_04,D2_05,D2_05_A,D2_06,D2_07,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
9,5,1,6,602,1,2,441,1,1,1
9,5,3,5,511,1,2,442,1,1,1
9,3,2,7,705,1,2,443,2,1,2
9,3,2,7,705,1,1,444,1,1,1
1,5,3,8,802,1,1,445,1,1,1
9,5,3,8,802,1,2,446,1,1,1
9,1,2,5,511,1,1,448,3,1,3
9,3,2,6,603,1,1,449,1,1,1
9,6,0,8,803,1,2,450,1,1,1
5,2,2,5,511,1,1,451,1,1,1
9,5,2,5,511,1,2,452,1,1,1
9,2,4,4,408,1,2,453,1,1,1
9,3,5,4,406,1,2,454,2,1,2
9,3,3,4,408,1,1,456,1,1,1
9,5,1,5,513,1,2,457,4,1,4
1,3,2,5,511,1,1,458,1,1,1
9,1,0,5,511,1,1,460,1,1,1
9,6,0,4,409,,,461,4,1,4
9,3,1,4,408,1,2,462,2,1,2
9,2,6,4,406,1,2,463,2,1,2
9,5,3,3,305,1,2,464,1,1,1
9,2,3,7,705,1,2,465,2,1,2
9,6,1,6,603,1,2,466,1,1,1
9,3,4,3,305,1,2,467,2,1,2
9,6,0,5,510,,,468,4,1,4
1,6,1,6,603,1,2,469,1,1,1
9,2,1,5,511,1,2,470,2,1,2
9,3,2,6,604,1,1,471,2,1,2
5,6,2,5,511,1,2,472,1,1,1
9,6,0,5,512,1,2,473,1,1,1
5,2,4,5,513,1,2,475,1,1,1
9,3,3,5,511,1,2,476,2,1,2
9,6,0,5,511,1,1,477,3,1,3
9,6,3,5,511,1,2,478,1,1,1
5,6,0,4,408,,,479,3,1,3
9,3,2,7,705,1,2,480,2,1,2
9,6,0,5,511,1,1,481,1,1,1
9,6,1,8,806,1,2,482,1,1,1
9,2,2,3,305,1,2,484,2,1,2
9,3,2,4,409,1,2,485,2,1,2
9,3,3,6,603,1,2,486,2,1,2
9,3,2,3,305,1,1,487,1,1,1
5,2,2,7,705,1,2,488,2,1,2
5,2,1,6,602,1,2,489,1,1,1
1,6,0,5,510,1,2,490,2,1,2
5,3,4,3,305,1,2,492,1,1,1
9,2,3,3,305,1,2,493,2,1,2
9,6,1,6,606,1,2,494,1,1,1
9,6,0,4,408,,,496,3,1,3
9,6,0,5,513,1,2,498,2,1,2
5,3,2,5,511,1,2,499,1,1,1
9,2,1,5,511,1,1,500,1,1,1
5,6,10,3,304,1,2,501,1,1,1
9,2,2,5,511,1,2,502,1,1,1
5,2,0,5,510,1,1,505,4,1,4
1,6,3,6,602,1,2,506,3,1,3
1,2,4,3,303,1,1,507,1,1,1
9,2,2,4,407,1,1,508,1,1,1
9,6,0,8,803,1,2,509,3,1,3
