Depmuni,TIPO,SERVICIO,ESTRATO,TOTAL_PERSONAS,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,ESTADO_ENCUESTA,RECO_DIC
52001,2,1,2,2,394,1,1,1,,0
23001,2,1,1,4,395,1,1,1,,0
23001,1,1,1,3,396,1,1,1,,0
52001,1,1,2,2,397,1,1,1,,0
52001,2,1,2,6,398,1,1,1,,0
15001,1,1,3,4,399,1,1,1,,0
23001,2,1,1,3,400,1,1,1,,0
13001,2,1,2,3,401,1,1,1,,0
52001,2,1,2,2,402,1,1,1,,0
23001,1,1,1,4,403,1,1,1,,0
15001,1,1,3,7,404,1,1,1,,0
13001,2,1,2,4,405,1,1,1,,0
23001,1,1,1,3,406,1,1,1,,0
70215,1,1,1,4,407,1,1,1,,0
47001,2,1,3,5,408,1,1,1,,0
44001,1,1,1,7,410,1,1,1,,0
23001,1,1,1,2,411,1,1,1,,0
44001,1,1,1,4,412,1,1,1,,0
13001,1,1,3,5,414,1,1,1,,0
70215,1,1,1,5,415,1,1,1,,0
13001,2,1,2,3,416,1,1,1,,0
15001,1,1,3,2,417,1,1,1,,0
44001,1,1,1,7,418,1,1,1,,0
73001,1,1,3,3,419,1,1,1,,0
76364,2,1,3,7,420,1,1,1,,0
08758,2,1,1,2,421,1,1,1,,0
47001,2,1,1,7,422,1,1,1,,0
95001,2,1,2,3,423,1,1,1,,0
70001,1,1,3,5,424,1,1,1,,0
73001,1,1,3,2,425,1,1,1,,0
23001,2,1,1,2,426,1,1,1,,0
47001,2,1,1,3,427,1,1,1,,0
44001,1,1,1,4,429,1,1,1,,0
70001,1,1,3,4,430,1,1,1,,0
76364,1,1,3,3,431,1,1,1,,0
15001,2,1,3,6,432,1,1,1,,0
70215,1,1,1,3,433,1,1,1,,0
76364,2,1,2,3,434,1,1,1,,0
70001,1,1,2,7,435,1,1,1,,0
76364,1,1,3,3,436,1,1,1,,0
23001,1,1,1,4,437,1,1,1,,0
13001,2,1,2,4,438,1,1,1,,0
70215,1,1,1,4,439,1,1,1,,0
13001,1,1,2,3,440,1,1,1,,0
08758,2,1,2,3,441,1,1,1,,0
44001,1,1,1,4,442,1,1,1,,0
95001,1,1,2,3,443,1,1,1,,0
73001,2,1,4,2,444,1,1,1,,0
70001,1,1,3,2,445,1,1,1,,0
15001,1,1,3,1,446,1,1,1,,0
95001,1,1,1,4,448,1,1,1,,0
23001,2,1,1,4,449,1,1,1,,0
70001,1,1,3,2,450,1,1,1,,0
27001,1,1,1,4,451,1,1,1,,0
13001,2,1,2,3,452,1,1,1,,0
47001,1,1,1,6,453,1,1,1,,0
70215,1,1,1,4,454,1,1,1,,0
70001,1,1,3,2,456,1,1,1,,0
13001,2,1,2,4,457,1,1,1,,0
70215,1,1,1,3,458,1,1,1,,0
19001,2,1,3,2,460,1,1,1,,0
15001,1,1,3,4,461,1,1,1,,0
44001,1,1,1,3,462,1,1,1,,0
95001,1,1,2,4,463,1,1,1,,0
70001,1,1,3,4,464,1,1,1,,0
18001,1,1,3,3,465,1,1,1,,0
08758,2,1,1,2,466,1,1,1,,0
47001,1,1,3,2,467,1,1,1,,0
52001,1,1,2,5,468,1,1,1,,0
52001,2,1,2,3,469,1,1,1,,0
23001,1,1,1,3,470,1,1,1,,0
13001,1,1,2,6,471,1,1,1,,0
27001,1,1,1,3,472,1,1,1,,0
76364,2,1,3,1,473,1,1,1,,0
13001,2,1,2,7,475,1,1,1,,0
20001,1,1,3,3,476,1,1,1,,0
73001,2,1,3,4,477,1,1,1,,0
95001,3,1,2,2,478,1,1,1,,0
15001,1,1,3,4,479,1,1,1,,0
18001,1,1,3,3,480,1,1,1,,0
70001,1,1,3,2,481,1,1,1,,0
47001,1,1,1,2,482,1,1,1,,0
76364,2,1,2,2,484,1,1,1,,0
52001,2,1,2,3,485,1,1,1,,0
08758,1,1,2,5,486,1,1,1,,0
81001,1,1,1,3,487,1,1,1,,0
76364,1,1,3,4,488,1,1,1,,0
95001,1,1,1,3,489,1,1,1,,0
44001,1,1,1,4,490,1,1,1,,0
76364,1,1,3,1,491,1,1,1,,0
44001,1,1,1,3,492,1,1,1,,0
23001,1,1,1,4,493,1,1,1,,0
68547,2,1,3,1,494,1,1,1,,0
68547,1,1,3,4,496,1,1,1,,0
19001,1,1,3,2,498,1,1,1,,0
70215,1,1,1,4,499,1,1,1,,0
70001,1,1,3,3,500,1,1,1,,0
27001,1,1,1,8,501,1,1,1,,0
47001,1,1,3,3,502,1,1,1,,0
23001,2,1,1,4,505,1,1,1,,0
95001,1,1,3,6,506,1,1,1,,0
08758,1,1,2,7,507,1,1,1,,0
13001,2,1,2,4,508,1,1,1,,0
15001,1,1,3,4,509,1,1,1,,0
68547,1,1,2,4,510,1,1,1,,0
47001,2,1,1,3,511,1,1,1,,0
81001,2,1,1,3,512,1,1,1,,0
44001,1,1,1,9,513,1,1,1,,0
52001,1,1,2,4,514,1,1,1,,0
52001,1,1,2,3,515,1,1,1,,0
70215,2,1,1,1,516,1,1,1,,0
08001,2,1,4,3,517,1,1,1,,0
23001,1,1,1,9,518,1,1,1,,0
76364,2,1,3,3,519,1,1,1,,0
13001,1,1,2,3,520,1,1,1,,0
70001,1,1,3,3,521,1,1,1,,0
95001,1,1,1,5,522,1,1,1,,0
76364,1,1,3,2,523,1,1,1,,0
81001,1,1,3,9,524,1,1,1,,0
20001,2,1,2,4,526,1,1,1,,0
27001,1,1,1,3,527,1,1,1,,0
13001,2,1,2,5,528,1,1,1,,0
68547,1,1,3,4,529,1,1,1,,0
52001,2,1,2,4,530,1,1,1,,0
95001,1,1,2,2,531,1,1,1,,0
19001,2,1,3,1,532,1,1,1,,0
76364,2,1,2,4,533,1,1,1,,0
27001,1,1,1,4,534,1,1,1,,0
68547,2,1,2,2,535,1,1,1,,0
81001,1,1,1,7,536,1,1,1,,0
68547,2,1,3,2,537,1,1,1,,0
52001,2,1,2,3,538,1,1,1,,0
95001,3,1,2,1,539,1,1,1,,0
20001,2,1,2,4,540,1,1,1,,0
08758,2,1,2,6,541,1,1,1,,0
68307,2,1,1,3,542,1,1,1,,0
76364,1,1,3,3,543,1,1,1,,0
81001,3,1,2,1,544,1,1,1,,0
