J_01,J_02,J_03,J_04,J_05_A,J_05_B,J_05_C,J_05_D,J_05_E,J_05_F,J_06_A,J_06_B,J_06_C,J_06_D,J_06_E,J_06_F,J_06_G,J_06_H,J_06_I,J_07,J_08,J_09,J_10,J_11,J_12,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,,,2,,23351,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,23432,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,2,,23530,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,23901,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,23930,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,24036,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,24059,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,24076,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,24210,3,1,3
,,,,,,,,,,,,,,,,,,,3,2,,,2,,24211,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,24342,1,1,1
,,,,,,,,,,,,,,,,,,,2,2,,,,,24396,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,24540,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,2,,24559,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,24600,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,24858,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,24885,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,25173,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,2,,25699,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,2,,25808,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,25917,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,26096,9,1,9
,,,,,,,,,,,,,,,,,,,,,,,1,2,26147,3,1,3
,,,,,,,,,,,,,,,,,,,2,1,1,2,,,26171,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,26235,1,1,1
