L_01,L_02,L_03,L_04,L_05,L_06,L_07,L_08,L_08_VALOR,L_08_TEXTO,L_09_A,L_09_B,L_09_C,L_09_D,L_09_E,L_09_F,L_09_G,L_09_H,L_09_I,L_10,L_10_A,L_10_B,L_11_A,L_11_B,L_11_C,L_11_D,L_11_E,L_11_F,L_11_G,L_11_H,L_11_I,L_11_J,L_11_K,L_11_L,L_11_M,L_11_N,L_11_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10312,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10315,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10344,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10381,2,1,2
3,1,3,1,10,50000,10,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,10383,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10496,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10585,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10627,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11115,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11121,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11142,2,1,2
9,1,2,1,4,80000,03,2,,,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11341,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11358,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11385,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11467,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11621,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11706,4,1,4
3,1,2,2,,,05,1,4000,CUATRO MIL,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11709,1,1,1
1,1,2,1,3,20000,1,1,20000,VEINTE MIL,1,1,1,1,1,,1,,,2,,,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,11785,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11799,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11813,2,1,2
3,1,4,1,6,50000,06,1,7000,SIETE MIL PESOS,,,1,,,,,,,2,,,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,11839,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11869,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11872,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11982,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12073,2,1,2
3,1,2,1,1,98,01,1,15000,QUINCE MIL PESOS,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12138,1,1,1
2,1,2,2,,,01,1,12000,DOCE MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12215,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12440,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12461,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12493,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12559,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12582,1,1,1
2,1,1,2,,,1,2,,,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12585,2,1,2
3,1,3,1,10,98,04,1,6000,SEIS MIL PESOS,,,,1,,,,,,2,,,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,12709,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12710,1,1,1
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12729,1,1,1
3,1,5,1,30,98,30,1,5000,CINCO MIL,,,1,,,,,,,2,,,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,12775,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12801,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12995,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13081,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13092,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13106,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13109,2,1,2
2,1,2,1,1,98,01,2,,,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13142,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13144,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13168,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13191,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13211,2,1,2
3,1,5,1,30,150000,30,1,5000,CINCO MIL,,,1,,,,,,,2,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13250,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13286,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13324,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13344,1,1,1
